name,store,price,evaluate_num
小米6X 全网通 6GB+64GB 曜石黑 移动联通电信4G 双卡双待 智能,小米京东官方自营旗舰店,￥1799.00,4.9万+条评价
Apple iPhone 8 Plus 64GB 红色特别版 移动联通电信4G,京东Apple产品专营店,￥5999.00,103万+条评价
华为 HUAWEI P20 Pro 全面屏徕卡三摄 6GB +128GB 宝石蓝 全网通版 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥5488.00,10万+条评价
小米Note3 美颜双摄拍照 6GB+64GB 黑色 全网通4G 双卡双待,小米京东官方自营旗舰店,￥2099.00,54万+条评价
OPPO R15 全面屏双摄拍照 6G+128G 星空紫 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥2999.00,6.9万+条评价
华为 HUAWEI P20  AI智慧全面屏 6GB +64GB 亮黑色 全网通版 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥3788.00,13万+条评价
AGM M2 全网通三防老人电信移动联通 双卡双待 黑金,AGM手机官方旗舰店,￥399.00,9400+条评价
Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G,京东Apple产品专营店,￥7599.00,46万+条评价
荣耀10 全面屏AI摄影 6GB+64GB 游戏 幻夜黑 全网通 移动联通电信4G 双卡双待,荣耀京东自营旗舰店,￥2599.00,19万+条评价
小米MIX2 全面屏游戏 6GB+64GB 黑色 全网通4G 双卡双待,小米京东官方自营旗舰店,￥2599.00,24万+条评价
Apple iPhone 8 64GB 红色特别版 移动联通电信4G,京东Apple产品专营店,￥4999.00,61万+条评价
锤子（smartisan） 坚果 3 4G+64GB 碳黑色 全面屏双摄  全网通4G 双卡双待,锤子科技京东自营官方旗舰店,￥1599.00,7.1万+条评价
vivo X21 全面屏 双摄拍照游戏 6GB+128GB 黑金 移动联通电信全网通4G 双卡双待,vivo京东自营官方旗舰店,￥3298.00,12万+条评价
vivo X21 屏幕指纹版 双摄拍照游戏 6GB+128GB 冰钻黑 移动联通电信全网通4G 双卡双待,vivo京东自营官方旗舰店,￥3598.00,3.2万+条评价
一加5T 6GB+64GB 星辰黑 高性能全面屏双摄 全网通4G 双卡双待,一加手机京东自营官方旗舰店,￥2999.00,36万+条评价
魅族（MEIZU） 魅蓝6 移动定制全网通4G 双卡双待 磨砂黑 3GB+32GB,中国移动手机官方旗舰店,￥699.00,4300+条评价
荣耀 V10 高配版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏 双卡双待,荣耀京东自营旗舰店,￥2799.00,50万+条评价
小米 红米Note5 全网通版 4GB+64GB 黑色 移动联通电信4G 双卡双待,小米京东官方自营旗舰店,￥1399.00,16万+条评价
Apple iPhone 6 32GB 金色 移动联通电信4G,京东Apple产品专营店,￥1999.00,52万+条评价
小米 红米5 Plus 全面屏拍照 全网通版 3GB+32GB 黑色 移动联通电信4G 双卡双待,小米京东官方自营旗舰店,￥999.00,65万+条评价
华为 HUAWEI Mate 10 6GB+128GB 亮黑色 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥4199.00,25万+条评价
OPPO R15 全面屏双摄拍照 4G+128G 星空紫 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥2699.00,2万+条评价
诺基亚 7 Plus (Nokia 7 Plus) 6GB+64GB 黑色 游戏 全网通 双卡双待 移动联通电信4G,诺基亚手机京东自营旗舰店,￥2499.00,2.8万+条评价
索爱 T618 移动/联通老人机 直板按键老人 语音播报  超长待机 奢华金,索爱手机旗舰店,￥168.00,3800+条评价
荣耀 畅玩7X 4GB+32GB 全网通4G全面屏 标配版 铂光金,荣耀京东自营旗舰店,￥1199.00,72万+条评价
360 N7 全网通 6GB+64GB 石墨黑 移动联通电信4G 双卡双待 全面屏 游戏,360手机官方旗舰店,￥1699.00,3.5万+条评价
小米 红米5A 全网通版 3GB+32GB 香槟金 移动联通电信4G 双卡双待,小米京东官方自营旗舰店,￥699.00,68万+条评价
詹姆士（GEMRY） G20 全网通4G高端商务智能 前后双摄 上市 小牛皮玫瑰金版,GEMRY手机旗舰店,￥9999.00,0条评价
荣耀9青春版 全网通 标配版 3GB+32GB 魅海蓝 移动联通电信4G全面屏 双卡双待,荣耀京东自营旗舰店,￥1099.00,64万+条评价
Apple iPhone 6s Plus (A1699) 32G 玫瑰金色 移动联通电信4G,京东Apple产品专营店,￥2999.00,52万+条评价
小米5X 美颜双摄拍照 4GB+64GB 黑色 全网通4G 双卡双待,小米京东官方自营旗舰店,￥1499.00,52万+条评价
荣耀畅玩7C 全面屏 全网通标配版 3GB+32GB 铂光金 移动联通电信4G 双卡双待,荣耀京东自营旗舰店,￥899.00,29万+条评价
飞利浦（PHILIPS） E183A 老人 移动联通2G 直板功能按键学生双卡双待老年机 曜石黑,新迪恒数码专营店,￥199.00,1.6万+条评价
华为 HUAWEI nova 4GB+64GB版 香槟金（白）移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1399.00,20万+条评价
诺基亚 7 (Nokia 7) 4GB+64GB 黑色 全网通 双卡双待 移动联通电信4G,诺基亚手机京东自营旗舰店,￥1699.00,10万+条评价
华为 畅享6 金色 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥749.00,49万+条评价
vivo Y69 全网通 美颜拍照 3GB+32GB 金色 移动联通电信4G 双卡双待,vivo京东自营官方旗舰店,￥999.00,4万+条评价
华为 麦芒5 全网通 4GB+64GB版 香槟金 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1299.00,12万+条评价
荣耀9 全网通 标配版 4GB+64GB 海鸥灰 移动联通电信4G 双卡双待,荣耀京东自营旗舰店,￥1899.00,102万+条评价
【曜岩黑耳机套装】一加6 8GB+128GB 亮瓷黑 全面屏双摄游戏 全网通4G 双卡双待,一加手机京东自营官方旗舰店,￥3699.00,3.5万+条评价
海尔（Haier） M365移动/联通 双卡双待 翻盖老人  男 女老年功能机 红色,海尔手机旗舰店,￥199.00,200+条评价
荣耀 畅玩6 2GB+16GB 金色 全网通4G 双卡双待,荣耀京东自营旗舰店,￥599.00,30万+条评价
华为 HUAWEI nova 3e 全面屏2400万前置摄像 4GB +64GB 克莱因蓝 全网通版移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1999.00,9.8万+条评价
锤子（smartisan） 坚果Pro2 全面屏 全网通移动联通电信4G 双卡双待 黑色 6GB+128GB,优爱特手机旗舰店,￥2699.00,800+条评价
【豪华套装】小米MIX2S 全面屏游戏 6GB+128GB 黑色 全网通4G 陶瓷,小米京东官方自营旗舰店,￥3899.00,1.3万+条评价
vivo Y85 刘海全面屏 美颜拍照 4GB+64GB 黑金 移动联通电信4G 双卡双待,vivo京东自营官方旗舰店,￥1798.00,11万+条评价
360 N6 Lite 全网通 4GB+32GB 星空黑 移动联通电信4G 双卡双待,,￥899.00,19万+条评价
vivo Y75s 全面屏 4GB+32GB 香槟金 移动联通电信4G 双卡双待,vivo京东自营官方旗舰店,￥1298.00,6500+条评价
守护宝 上海中兴 ZTE tech L630 移动/联通2G 老人 暮光黑,亿源数码手机专营店,￥168.00,1.5万+条评价
华为畅享8 Plus 高清四摄大电池 4G+64G 金色 全网通版 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1599.00,5.2万+条评价
华为畅享8 全面屏三卡槽 4GB+64GB 金色 全网通高配版 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1399.00,4.9万+条评价
克里特（kreta） ONE 高端轻奢商务特色 全网通4G 双卡双摄 AI智能助理 6+128G 小牛皮湖蓝色,克里特KRETA手机官方旗舰店,￥8999.00,30+条评价
荣耀畅玩7A 全面屏 全网通标配版 2GB+32GB 极光蓝 移动联通电信4G 双卡双待,荣耀京东自营旗舰店,￥799.00,7万+条评价
vivo X21 全面屏 双摄拍照游戏 6GB+64GB 冰钻黑 移动联通电信全网通4G 双卡双待,vivo京东自营官方旗舰店,￥2898.00,2.4万+条评价
魅族 魅蓝 Note6 3GB+32GB 全网通公开版 曜石黑 移动联通电信4G 双卡双待,魅族京东自营官方旗舰店,￥899.00,38万+条评价
OPPO A57 3GB+32GB内存版 玫瑰金色 全网通4G 双卡双待,OPPO手机京东自营官方旗舰店,￥1099.00,18万+条评价
爱户外（ioutdoor） F2 移动/联通 防水翻盖三防老人 双卡双待 黑黄,合富荣三防手机专营店,￥399.00,6条评价
OPPO A1 全面屏拍照 4GB+64GB 樱桃红 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥1399.00,2.4万+条评价
